term,plain_definition
On paper,What the official rules say — regardless of whether they are enforced.
In practice,What actually happens — how much the rules are really applied.
Open gap,"The rules are ambitious but enforcement lags, and everyone can see it."
Inversion,More happens in practice than the rules require — usually through courts and lawsuits.
Cleared upfront (ex-ante),"Systems must be approved before launch, instead of corrected afterwards."
Hidden gap,"Compliant on paper while practice quietly diverges, out of sight."
Closed (opacity),The real situation cannot be seen from outside — deliberately.
Self-imposed & reversible,A voluntary promise a company can quietly change or drop.
Light by design,Little gap because there is not much binding rule in place yet.
Deployer,An organization that uses AI (not the company that builds it) and is responsible for how it is used.
Frontier lab,"A company building the largest, most capable AI systems."
General-purpose AI (GPAI),A model that can be used for many different tasks.
Capacity-lag,"The rules exist, but the people and tools to enforce them are not built yet."
Grace period,A window after a law takes effect before penalties apply.
How much scale,A simple five-step scale: almost none · minimal · partial · substantial · comprehensive.
How we know,Read directly (verified) · a real document we could not open (attested) · reasoned from evidence (inferred).
Falsification,The specific future event that would prove a prediction wrong.
Registration gate,A rule that an AI service must be filed and accepted before it can be deployed.
