node_id,layer,name,region,morphology,sub_mechanism,paper_band,realization_band,realization_mode,epistemic_level,evidence_strength,notes
ST-EU,state,European Union,Europe,M1,capacity-lag,C,AS,structural/ex-ante,INFERRED,STRONG,"High-risk obligations deferred to 2027/2028 (Digital Omnibus 7 May 2026); standards not ready before Q4 2026 — capacity-lag with build underway"
ST-US,state,United States (federal),North America,M6,revocable-self-binding,IN,IN,ex-post,INFERRED,STRONG,"Biden EO 14110 rescinded hours into Trump term (EO 14148, 20 Jan 2025); EO 14179 + EO 14365 deregulatory turn"
ST-US-CA,state,United States — California,North America,M1,capacity-lag,AS,IN,structural,INFERRED,STRONG,"SB 53 (TFAIA) signed 29 Sep 2025, effective 1 Jan 2026; binding statute survived federal preemption attempt"
ST-US-CO,state,United States — Colorado,North America,M7,institutional-regression,IN,CI,,INFERRED,STRONG,"SB 24-205 delayed then repealed/replaced by narrower SB 26-189 (14 May 2026) before taking effect"
ST-CN,state,China,Asia,M3+M4,ex-ante-licensing + ritual-concealment,C,S,ex-ante,INFERRED,STRONG,"Realization S via the registration gate (anti-prior: zero sanctions is not absence); Labeling Measures eff. 1 Sep 2025, CSL AI provision 1 Jan 2026"
ST-UK,state,United Kingdom,Europe,M7,deliberate-light-touch,IN,IN,structural,INFERRED,STRONG,"2026 King's Speech: no AI bill, regulators-led; explicit stated light-touch"
ST-IN,state,India,Asia,M7,deliberate-light-touch,IN,IN,,INFERRED,STRONG,"MeitY voluntary Guidelines 5 Nov 2025; 'consciously chosen not to lead with regulation'"
ST-SG,state,Singapore,Asia,M7,deliberate-light-touch,AS,AS,structural,INFERRED,STRONG,"Framework-by-design since 2019; Agentic AI framework Jan 2026"
ST-JP,state,Japan,Asia,M7,deliberate-light-touch,AS,IN,,INFERRED,STRONG,"AI Promotion Act eff. 4 Jun 2025; no penalties (reputational/cooperative model)"
ST-AU,state,Australia,Oceania,M7,deliberate-light-touch,IN,IN,,INFERRED,STRONG,"Migrated from legislative-pending (t-12) to deliberate-light-touch (t-0); National AI Plan Dec 2025 rejected mandatory guardrails"
ST-MX,state,Mexico,North America,M7,institutional-regression,IN,CI,,INFERRED,STRONG,"INAI dissolved (constitutional reform eff. 20 Dec 2024; transfer 21 Mar 2025)"
ST-BR,state,Brazil,South America,M7,legislative-pending,AS,IN,,INFERRED,STRONG,"PL 2338 Senate-approved Dec 2024; Chamber plenary vote scheduled 27 May 2026 (outcome unconfirmed); ANPD residual authority"
ST-CL,state,Chile,South America,M7,legislative-pending,AS,IN,,INFERRED,STRONG,"Bill 16821-19 Chamber-approved 13 Oct 2025; in Senate; EU+UNESCO-modeled"
ST-CO,state,Colombia,South America,M7,legislative-pending,IN,CI,,INFERRED,WEAK,"Bill to Senate 28 Jul 2025; one of 20+ competing proposals; fragmented pipeline"
ST-ID,state,Indonesia,Asia,M7,developmental-promotional,IN,CI,,INFERRED,STRONG,"Circular Letter 9/2023 primary; Perpres elevation pending"
ST-NG,state,Nigeria,Africa,M7,nascent-capacity,IN,CI,,INFERRED,STRONG,"Final NAIS Sep 2025; bills pending; NDPA 2023 operative"
ST-KE,state,Kenya,Africa,M7,nascent-capacity,IN,CI,,INFERRED,STRONG,"AI Strategy 2025-2030 launched 27 Mar 2025; UNESCO-RAM co-driver"
ST-ZA,state,South Africa,Africa,M7,nascent-capacity,IN,CI,,INFERRED,STRONG,"Draft National AI Policy Framework Oct 2024; POPIA backstop"
ST-RW,state,Rwanda,Africa,M7,nascent-capacity,IN,CI,,INFERRED,WEAK,"National AI Policy (2023) in implementation; UNESCO RAM piloted"
ST-EG,state,Egypt,Africa,M7,nascent-capacity,IN,CI,,INFERRED,WEAK,"Second Edition National AI Strategy 2025-2030 (22 Jan 2025)"
ST-AE,state,United Arab Emirates,Middle East,M7,developmental-promotional,AS,IN,structural,INFERRED,STRONG,"Charter Jun 2024; National AI System as Cabinet advisory member (Jun 2025); no binding AI Act"
ST-SA,state,Saudi Arabia,Middle East,M7,deliberate-light-touch,IN,IN,,INFERRED,STRONG,"SDAIA principles non-binding; PDPL enforcement backstop"
ST-IL,state,Israel,Middle East,M7+M5,deliberate-light(civil) + opacity(defense),IN,IN,,INFERRED,STRONG,"Civil policy Dec 2023 deliberate-light; defense sub-level OPAQUE by construction"
ST-VN,state,Vietnam,Asia,M7-then-enacted,developmental-promotional then hard-law,S,CI,ex-ante,INFERRED,STRONG,"FALSIFIER: looked developmental-promotional at t-24; enacted Law 134/2025 (10 Dec 2025, eff. 1 Mar 2026). Lacked stated light-touch marker + had active pipeline"
ST-CH,state,Switzerland,Europe,M7,deliberate-light-touch,IN,IN,structural,INFERRED,STRONG,"Federal Council sectoral decision 12 Feb 2025"
ST-KR,state,South Korea,Asia,M7-then-enacted,legislative-pending then enacted,S,CI,structural,INFERRED,STRONG,"AI Basic Act signed Jan 2025, effective 22 Jan 2026; MSIT decree 10^26 FLOP threshold"
ST-TR,state,Turkey,Middle East,M7,legislative-pending,IN,CI,,INFERRED,WEAK,"Bill 2/2234 (2024) still pending in 2026 — legislative-pending over-predicts under weak will"
ST-RU,state,Russia,Europe/Asia,OPAQUE,opacity-by-coercion,,,,OPAQUE,OPAQUE,"Realization OPAQUE by construction; excluded from scored set"
ST-IR,state,Iran,Middle East,OPAQUE,opacity-by-coercion,,,,OPAQUE,OPAQUE,"Realization OPAQUE by construction; excluded from scored set"
AC-ANT,actor,Anthropic,North America,M6,revocable-self-binding,S,AS,,INFERRED,STRONG,"METR published-12; endorsed CA SB 53"
AC-OAI,actor,OpenAI,North America,M6,revocable-self-binding,AS,IN,,INFERRED,STRONG,"Preparedness Framework v2 (Apr 2025) voluntary"
AC-GDM,actor,Google DeepMind,North America,M6,revocable-self-binding,AS,AS,,INFERRED,STRONG,"METR published-12; Frontier Safety Framework"
AC-MS,actor,Microsoft,North America,M6,revocable-self-binding,AS,IN,,INFERRED,STRONG,"METR published-12; additional Seoul commitments"
AC-META,actor,Meta,North America,M6,revocable-self-binding,IN,IN,,INFERRED,STRONG,"METR published-12; Frontier AI Framework"
AC-XAI,actor,xAI,North America,M6,revocable-self-binding,CI,CI,,INFERRED,STRONG,"Missed self-imposed Frontier Safety Policy deadline twice; Grok 4 shipped without system card"
AC-AMZ,actor,Amazon,North America,M6,revocable-self-binding,IN,IN,,INFERRED,WEAK,"METR published-12"
AC-NV,actor,NVIDIA,North America,M6,revocable-self-binding,IN,IN,,INFERRED,WEAK,"METR published-12"
AC-COH,actor,Cohere,North America,M6+M2,revocable-self-binding + enterprise-contract,AS,AS,,INFERRED,STRONG,"Enterprise framework Feb 2025; paper recalibrated IN->AS"
AC-AI21,actor,AI21 Labs,Middle East,M6,transparency-without-gating,IN,IN,,INFERRED,STRONG,"Paper recalibrated C->IN (transparency is not a safety-framework structure)"
AC-ZHI,actor,Zhipu,Asia,M6+M3,ritual + ex-ante-inherited,IN,AS,,INFERRED,STRONG,"Only Chinese Seoul signatory; realization via CN gate"
AC-MOON,actor,Moonshot,Asia,M6,non-disclosure,CI,IN,,INFERRED,WEAK,"Non-disclosure posture"
AC-BAI,actor,Baidu,Asia,M3,ex-ante-values,IN,AS,ex-ante,INFERRED,STRONG,"Realization via CN registration gate"
AC-01,actor,01.AI,Asia,M6,ritual,CI,IN,,INFERRED,WEAK,"Signed Paris commitments"
AC-G42,actor,G42,Middle East,M6,sovereign-aligned,IN,IN,,INFERRED,STRONG,"Double-legend with UAE state; METR published-12"
AC-NAV,actor,Naver,Asia,M6,state-aligned,IN,IN,,INFERRED,WEAK,"METR published-12; state-aligned"
AC-TEN,actor,Tencent,Asia,OPAQUE,,,,,OPAQUE,OPAQUE,"Realization OPAQUE by construction"
AC-HUM,actor,HUMAIN,Middle East,OPAQUE,,,,,OPAQUE,OPAQUE,"Saudi sovereign vehicle; OPAQUE by construction"
DP-D1,deployer,EU high-risk enterprise deployer,Europe,M1,capacity-lag,IN,IN,ex-ante-internal,INFERRED,STRONG,"Art. 26/27 binding 2 Aug 2026 (pre-omnibus); deployer realization gap; FRIA/DPIA"
DP-D2,deployer,US HR-tech / employment deployer,North America,M2,liability-channel,IN,IN,ex-post,INFERRED,STRONG,"Mobley v. Workday agent theory; 10,000+ employer-deployers exposed; ADEA ruling 6 Mar 2026"
DP-D3,deployer,Public-administration decision deployer,Global,M4,ritual-concealment,IN,AS,,INFERRED,STRONG,"SyRI (2020), toeslagenaffaire, Robodebt — submerged until exposed"
DP-D4,deployer,Financial-services model-risk deployer,Global,aligned,pre-existing-model-risk,S,S,ex-ante,INFERRED,STRONG,"SR 11-7 (2011) lineage; highest-realization node in the Atlas; 'deployers lag' is false"
DP-D5,deployer,Consumer-facing AI deployer,Global,M2,output-liability,CI,IN,ex-post,INFERRED,STRONG,"Air Canada chatbot liability (Feb 2024)"
DP-D6,deployer,Chinese registered-services deployer,Asia,M3,ex-ante-inherited,AS,AS,ex-ante,INFERRED,STRONG,"Deployment gated by which models are filed (CAC regime)"
