node_id,source_id,node_confidence,match_basis
AC-META,SRC-001,high,url/title
ST-RW,SRC-002,high,url/title
ST-AE,SRC-003,high,url/title
ST-CN,SRC-005,high,url/title
ST-CN,SRC-006,high,url/title
ST-SG,SRC-007,high,host
ST-SG,SRC-008,high,host
ST-SG,SRC-009,high,host
AC-ANT,SRC-010,medium,context
ST-IN,SRC-011,high,url/title
ST-BR,SRC-012,high,url/title
AC-ANT,SRC-013,medium,context
AC-ANT,SRC-014,medium,context
ST-EU,SRC-015,high,url/title
AC-ANT,SRC-017,medium,context
ST-AE,SRC-023,high,url/title
ST-ID,SRC-024,high,url/title
ST-RU,SRC-025,high,url/title
ST-VN,SRC-026,high,host
AC-ANT,SRC-027,medium,context
ST-SG,SRC-029,high,url/title
ST-VN,SRC-030,high,url/title
AC-GDM,SRC-031,high,url/title
AC-ANT,SRC-032,medium,context
ST-KE,SRC-033,high,url/title
ST-CL,SRC-035,high,url/title
AC-OAI,SRC-036,high,url/title
ST-MX,SRC-037,high,url/title
ST-AE,SRC-038,high,url/title
ST-CN,SRC-040,high,url/title
ST-IN,SRC-041,high,url/title
ST-CN,SRC-042,high,url/title
ST-CN,SRC-043,high,url/title
ST-CN,SRC-044,high,url/title
AC-ANT,SRC-045,medium,context
VN-SAFE,SRC-046,high,title
ST-AE,SRC-047,high,url/title
ST-BR,SRC-054,high,url/title
ST-CL,SRC-055,high,url/title
ST-CH,SRC-056,high,url/title
ST-AE,SRC-057,high,url/title
AC-COH,SRC-061,high,host
AC-COH,SRC-062,high,host
AC-COH,SRC-063,high,host
ST-US-CO,SRC-064,high,url/title
ST-ID,SRC-065,high,url/title
ST-ID,SRC-066,high,url/title
AC-OAI,SRC-067,high,url/title
ST-RU,SRC-068,high,url/title
AC-ANT,SRC-069,medium,context
ST-CH,SRC-070,high,url/title
ST-IL,SRC-072,high,url/title
ST-EU,SRC-073,high,host
ST-EU,SRC-074,high,host
ST-EU,SRC-075,high,host
ST-CL,SRC-076,high,url/title
ST-TR,SRC-078,high,url/title
ST-IL,SRC-079,high,url/title
ST-JP,SRC-080,high,url/title
ST-AE,SRC-081,high,url/title
ST-CH,SRC-082,high,url/title
AC-ANT,SRC-083,medium,context
ST-CL,SRC-084,high,url/title
ST-US,SRC-086,high,url/title
ST-US,SRC-087,high,url/title
ST-EU,SRC-090,high,host
AC-NV,SRC-091,high,url/title
ST-SA,SRC-092,high,url/title
ST-ID,SRC-093,high,url/title
VN-SAFE,SRC-095,medium,context
VN-SAFE,SRC-096,high,title
VN-SAFE,SRC-097,medium,context
AC-ANT,SRC-098,medium,context
AC-ANT,SRC-099,medium,context
VN-SAFE,SRC-100,medium,context
ST-BR,SRC-102,high,url/title
ST-US,SRC-103,medium,context
ST-BR,SRC-105,high,url/title
ST-MX,SRC-106,high,url/title
ST-BR,SRC-108,medium,context
AC-G42,SRC-115,high,url/title
ST-US-CA,SRC-116,medium,context
ST-BR,SRC-117,medium,context
ST-BR,SRC-120,medium,context
ST-BR,SRC-121,medium,context
ST-BR,SRC-122,high,url/title
AC-ANT,SRC-123,medium,context
ST-BR,SRC-124,medium,context
ST-BR,SRC-125,medium,context
ST-BR,SRC-126,medium,context
ST-BR,SRC-127,high,url/title
ST-BR,SRC-128,medium,context
ST-BR,SRC-129,high,url/title
ST-US-CA,SRC-135,high,url/title
ST-US-CA,SRC-138,medium,context
ST-VN,SRC-140,high,url/title
ST-CN,SRC-143,high,host
AC-ANT,SRC-144,medium,context
