node_id,name,layer,headline,summary,morphology_plain,paper_plain,reality_plain
ST-EU,European Union,state,"The big rulebook is real, but the machinery to enforce it is running late.","The EU passed the world's most comprehensive AI law, but the hardest obligations were pushed to 2027–2028 and the technical standards aren't ready. The rules exist; the capacity to apply them is still being built.","Open gap — ambitious on paper, lagging in practice.",comprehensive,partial
ST-US,United States (federal),state,Federal AI policy can flip overnight — and it did.,"There is no standing federal AI law; direction is set by executive orders the next administration can reverse. The Biden-era order was rescinded within hours of the 2025 transition, and the posture turned deregulatory.",Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
ST-US-CA,United States — California,state,California built a binding AI law and made it stick.,California's frontier-AI transparency law took effect in 2026 and survived a federal attempt to override state AI rules. Enforcement capacity is still ramping up.,"Open gap — ambitious on paper, lagging in practice.",partial,minimal
ST-US-CO,United States — Colorado,state,"Colorado built an AI law, then walked it back before it ever applied.","The original Colorado AI Act was delayed and then replaced with a narrower version before it could take effect — capacity that was being built, then scaled back.","Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-CN,China,state,Cleared before launch — and what slips through stays out of sight.,"China controls AI upfront: services must be filed and approved before going live, so rules and practice line up at the gate. Where use breaks the rules it is hidden rather than open — official compliance on the surface, quiet workarounds underneath.",Controlled upfront — systems cleared before launch.,comprehensive,substantial
ST-UK,United Kingdom,state,Deliberately light — oversight is left to existing regulators.,"The UK has chosen not to pass a broad AI law, distributing oversight across existing regulators instead. This is a settled choice, not a transition.","Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-IN,India,state,A deliberate decision not to regulate first.,India issued voluntary guidelines and has explicitly chosen not to lead with binding regulation. Light-touch by design.,"Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-SG,Singapore,state,"Light by design, and good at it.","Singapore governs AI through well-developed voluntary frameworks rather than a binding law, a model it has run since 2019. Stable, not a way-station.","Light by design, or not built yet — little binding rule in place.",partial,partial
ST-JP,Japan,state,A law with no penalties — cooperation over coercion.,"Japan's AI Promotion Act is in force but carries no monetary penalties, relying on reputation and cooperation. Innovation-first by design.","Light by design, or not built yet — little binding rule in place.",partial,minimal
ST-AU,Australia,state,"Considered mandatory guardrails, then chose not to.","Australia weighed binding AI rules and, in its Dec 2025 National AI Plan, decided against them — moving from 'a law may be coming' to a deliberate light-touch stance.","Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-MX,Mexico,state,A built oversight body was dismantled.,"Mexico dissolved its independent data-protection authority in 2024–2025, dismantling capacity that already existed — a regression, not mere absence.","Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-BR,Brazil,state,A comprehensive bill is one vote away.,"Brazil's Senate approved a broad AI bill; a decisive lower-house vote was scheduled for May 2026. If enacted, enforcement will likely ramp gradually.","Light by design, or not built yet — little binding rule in place.",partial,minimal
ST-CL,Chile,state,A bill is advancing through the second chamber.,"Chile's AI bill, modeled on the EU and UNESCO, cleared the lower house in late 2025 and sits in the Senate. Not yet law.","Light by design, or not built yet — little binding rule in place.",partial,minimal
ST-CO,Colombia,state,"Many proposals, no consolidated law.",Colombia has 20+ competing AI proposals and no consolidated statute — a fragmented pipeline that may not converge soon.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-ID,Indonesia,state,"Build fast, govern light.",Indonesia governs AI through a ministerial circular while a stronger framework is pending; growth is prioritized over binding rules.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-NG,Nigeria,state,"Just getting started, with a strategy in place.","Nigeria finalized a national AI strategy in 2025 and has data-protection law operative, but binding AI rules are still nascent.","Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-KE,Kenya,state,"Early days, guided by a national strategy.","Kenya launched a 2025–2030 AI strategy, developed alongside UNESCO's readiness tooling; capacity is still forming.","Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-ZA,South Africa,state,"A draft framework, not yet binding.",South Africa has a draft national AI policy framework and relies on its data-protection law as a backstop. Early-stage.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-RW,Rwanda,state,A national policy in early implementation.,Rwanda adopted a national AI policy in 2023 and is piloting UNESCO's readiness method; capacity is nascent.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-EG,Egypt,state,"A refreshed national strategy, early stage.",Egypt issued a second-edition national AI strategy in 2025; binding rules are not yet in place.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-AE,United Arab Emirates,state,Governance stays light while the AI build races ahead.,The UAE promotes AI aggressively — even seating an AI system as a cabinet advisor — without a binding AI law. Industrial ambition far outpaces governance rules.,"Light by design, or not built yet — little binding rule in place.",partial,minimal
ST-SA,Saudi Arabia,state,"Principles, not binding rules.","Saudi Arabia's AI principles are non-binding, with data-protection law as the backstop. Light-touch.","Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-IL,Israel,state,"Light-touch in civilian life, closed in defense.","Israel's civilian AI policy is deliberately light, while its defense use is closed to outside view by construction.","Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-VN,Vietnam,state,"Looked light — then passed a full, binding law.","Vietnam appeared developmental and light until it enacted a comprehensive, risk-tiered AI law in late 2025 (in force March 2026). The clearest case that 'light now' doesn't mean 'light forever'.","Light by design, or not built yet — little binding rule in place.",substantial,almost none
ST-CH,Switzerland,state,"A sectoral, light-touch choice.",Switzerland decided in 2025 to handle AI through existing sectoral law rather than a new horizontal statute. Deliberate.,"Light by design, or not built yet — little binding rule in place.",minimal,minimal
ST-KR,South Korea,state,A comprehensive law just came into force.,"South Korea's AI Basic Act took effect in January 2026, with a compute threshold set by decree. The law is in force; the enforcement apparatus is still young.","Light by design, or not built yet — little binding rule in place.",substantial,almost none
ST-TR,Turkey,state,A bill that's been pending for years.,Turkey's AI bill has sat unpassed since 2024 — 'a law is coming' that keeps not arriving.,"Light by design, or not built yet — little binding rule in place.",minimal,almost none
ST-RU,Russia,state,Closed to outside view.,Russia's real AI governance cannot be assessed from outside; the opacity is deliberate. Excluded from scored comparison.,Closed — cannot be assessed from outside.,,
ST-IR,Iran,state,Closed to outside view.,Iran's real AI governance cannot be assessed from outside; the opacity is deliberate. Excluded from scored comparison.,Closed — cannot be assessed from outside.,,
AC-ANT,Anthropic,actor,Among the strongest safety practices — but still self-imposed.,"Anthropic has actually gated a model release on its safety standard and publishes safeguard reports, and it backed California's transparency law. Its commitments are reinforced by a governance structure but remain, ultimately, voluntary.",Self-imposed and reversible — a private promise that can be dropped.,substantial,partial
AC-OAI,OpenAI,actor,A safety framework that has been quietly loosened.,"OpenAI has a published preparedness framework, but some provisions were weakened without notice — a self-imposed promise it can revise.",Self-imposed and reversible — a private promise that can be dropped.,partial,minimal
AC-GDM,Google DeepMind,actor,"Published framework, observable gating.",Google DeepMind maintains a frontier safety framework and is among the labs that published their safety policies. Self-imposed and revisable.,Self-imposed and reversible — a private promise that can be dropped.,partial,partial
AC-MS,Microsoft,actor,"Framework in place, partly self-reported.",Microsoft publishes a safety framework and took on additional summit commitments; verification is largely self-reported.,Self-imposed and reversible — a private promise that can be dropped.,partial,minimal
AC-META,Meta,actor,"Open-weights promise, since walked back.","Meta's defining open-weights stance was quietly abandoned with its first closed frontier model, and frontier models shipped without comparable safety artifacts.",Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-XAI,xAI,actor,"Promised a safety policy, then missed it — twice.","xAI's frontier safety policy was a draft it never finalized, and a flagship model shipped without a system card. The promise effectively never bound anything.",Self-imposed and reversible — a private promise that can be dropped.,almost none,almost none
AC-AMZ,Amazon,actor,Published a policy; thin track record.,"Amazon is among the labs that published a safety framework, but evidence of real gating is limited.",Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-NV,NVIDIA,actor,Published a policy; thin track record.,NVIDIA published a safety framework; evidence of realization is limited.,Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-COH,Cohere,actor,"Enterprise-focused, with a real framework.",Cohere published an enterprise safety framework in 2025; its governance is realized partly through enterprise contracts.,Self-imposed and reversible — a private promise that can be dropped.,partial,partial
AC-AI21,AI21 Labs,actor,"Transparent, but not a frontier-safety framework.","AI21 is transparent, but transparency is not the same as a frontier-safety structure with thresholds — so its safety posture is minimal.",Self-imposed and reversible — a private promise that can be dropped.,minimal,minimal
AC-ZHI,Zhipu,actor,The one Chinese summit signatory — realized through China's gate.,Zhipu signed the Seoul commitments and realizes governance via China's registration regime.,Self-imposed and reversible — a private promise that can be dropped.,minimal,partial
