source_id,title,publisher,url,pub_date,date_status,source_type,tier,origin
SRC-001,meta approach frontier ai,Fb,https://about.fb.com/news/2025/02/meta-approach-frontier-ai,2025-02-01,from_url-month,other,context,backfill
SRC-002,Access Partnership,Accesspartnership,https://accesspartnership.com/opinion/access-alert-rwandan-government-approves-national-ai-policy,,unknown,other,context,backfill
SRC-003,ai.gov.ae,Gov,https://ai.gov.ae,,unknown,official_gov,primary,backfill
SRC-004,AI Lab Watch,Ailabwatch,https://ailabwatch.org/resources/commitments,,unknown,other,context,backfill
SRC-005,AI Safety in China #15,Substack,https://aisafetychina.substack.com/p/ai-safety-in-china-15,,unknown,other,context,backfill
SRC-006,ai safety in china 25,Substack,https://aisafetychina.substack.com/p/ai-safety-in-china-25,,unknown,other,context,backfill
SRC-007,Discussion Paper,AI Verify Foundation,https://aiverifyfoundation.sg/downloads/Discussion_Paper.pdf,,unknown,official_gov,primary,backfill
SRC-008,PROPOSED MODEL AI GOVERNANCE FRAMEWORK FOR GENERATIVE AI,AI Verify Foundation,https://aiverifyfoundation.sg/downloads/Proposed_MGF_Gen_AI_2024.pdf,,unknown,official_gov,primary,backfill
SRC-009,Model AI Governance Framework for Generative AI,AI Verify Foundation,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf,2024-05-01,from_url-month,official_gov,primary,backfill
SRC-010,Bill Regulating Artificial Intelligence Introduced to Congress - Alessandri Attorneys at Law,Alessandri,https://alessandri.legal/en/bill-regulating-artificial-intelligence-introduced-to-congress,,unknown,other,context,backfill
SRC-011,Anu Bradford on why India should build a hybrid AI governance model,Americanbazaaronline,https://americanbazaaronline.com/2026/05/11/anu-bradford-on-why-india-should-build-a-hybrid-ai-governance-model,2026-05-11,from_url,news,context,backfill
SRC-012,Brazil AI Act | Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.com/brazil-ai-act,,unknown,other,context,backfill
SRC-013,Article 26: Obligations of Deployers of High-Risk AI Systems | EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/article/26,,unknown,other,context,backfill
SRC-014,Article 27: Fundamental Rights Impact Assessment for High-Risk AI Systems | EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/article/27,,unknown,other,context,backfill
SRC-015,Overview of Guidelines for GPAI Models | EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/gpai-guidelines-overview,,unknown,other,context,backfill
SRC-016,High-level summary of the AI Act | EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/high-level-summary,,unknown,other,context,backfill
SRC-017,Implementation Timeline | EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/implementation-timeline,,unknown,other,context,backfill
SRC-018,EU Artificial Intelligence Act,Artificialintelligenceact,https://artificialintelligenceact.eu/introduction-to-code-of-practice,,unknown,other,context,backfill
SRC-019,arXiv,arXiv,https://arxiv.org/html/2406.01399v1,2024-06-01,from_arxiv,research_report,primary,backfill
SRC-020,arXiv,arXiv,https://arxiv.org/html/2506.09440v1,2025-06-01,from_arxiv,research_report,primary,backfill
SRC-021,arXiv,arXiv,https://arxiv.org/html/2512.01166,2025-12-01,from_arxiv,research_report,primary,backfill
SRC-022,arXiv,arXiv,https://arxiv.org/html/2512.10169v1,2025-12-01,from_arxiv,research_report,primary,backfill
SRC-023,atrc.gov.ae,Gov,https://atrc.gov.ae,,unknown,official_gov,primary,backfill
