source_id,title,publisher,url,pub_date,source_type,topic,reliability,url_status,date_status
S001,Artificial Intelligence: Council and Parliament agree to simplify and streamline rules,Council of the EU (Consilium),https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/,2026-05-07,official_gov,EU Digital Omnibus / high-risk deferral,high,this-session-search,attested
S002,EU Digital Omnibus on AI: What Is in It and What Is Not?,Morrison Foerster,https://www.mofo.com/resources/insights/251201-eu-digital-omnibus,2025-12-01,law_firm_analysis,EU Digital Omnibus,medium,this-session-search,attested
S003,EU AI Act Omnibus Agreement — Postponed High-Risk Deadlines,Gibson Dunn,https://www.gibsondunn.com/eu-ai-act-omnibus-agreement-postponed-high-risk-deadlines-and-other-key-changes/,2026-05-01,law_firm_analysis,EU high-risk deferral 2027/2028,medium,this-session-search,attested
S004,Implementation Timeline,EU Artificial Intelligence Act (artificialintelligenceact.eu),https://artificialintelligenceact.eu/implementation-timeline/,2025-08-01,regulation,EU AI Act timeline,medium,this-session-search,inferred-FLAG-turn2
S005,Guidelines for providers of general-purpose AI models / EU SEND,European Commission — Shaping Europe's digital future,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,2025-07-18,official_gov,EU GPAI notification (registry not gate),high,this-session-search,attested
S006,High-level summary of the AI Act (GPAI notification within 2 weeks),EU Artificial Intelligence Act,https://artificialintelligenceact.eu/high-level-summary/,2024-02-27,regulation,EU GPAI notification threshold,medium,this-session-search,attested
S007,EU's General-Purpose AI Obligations Are Now in Force,Skadden,https://www.skadden.com/insights/publications/2025/08/eus-general-purpose-ai-obligations,2025-08-14,law_firm_analysis,GPAI Code voluntary,medium,this-session-search,attested
S008,European Union ratifies the Council of Europe Framework Convention on AI,Council of Europe,https://www.coe.int/en/web/artificial-intelligence/-/european-union-ratifies-the-council-of-europe-framework-convention-on-artificial-intelligence,2026-05-15,official_gov,CoE Framework Convention / EU ratification,high,prior-session-pool,attested
S009,Governor Newsom signs SB 53,Office of the Governor of California,https://www.gov.ca.gov/2025/09/29/governor-newsom-signs-sb-53-advancing-californias-world-leading-artificial-intelligence-industry/,2025-09-29,official_gov,California SB 53 (TFAIA),high,this-session-search,attested
S010,California Enacts the Transparency in Frontier AI Act (SB 53),Kilpatrick Townsend (KTS Law),https://ktslaw.com/en/insights/alert/2025/10/california-enacts-the-transparency-in-frontier-artificial-intelligence-act-sb-53,2025-10-01,law_firm_analysis,California SB 53,medium,this-session-search,attested
S011,What is California's AI safety law?,Brookings,https://www.brookings.edu/articles/what-is-californias-ai-safety-law/,2025-12-23,research_report,California SB 53 / federal deference,medium,this-session-search,attested
S012,Texas Enacts Responsible AI Governance Act (TRAIGA),Baker Botts,https://www.bakerbotts.com/thought-leadership/publications/2025/july/texas-enacts-responsible-ai-governance-act-what-companies-need-to-know,2025-07-01,law_firm_analysis,Texas TRAIGA HB 149,medium,this-session-search,attested
